ISO	CaseForms_Jesus	Language	Latitude	Longitude
aai	Same	Arifama-Miniafia	-9.15565	149.246
aak	Different	Ankave	-7.19444	145.754
aau	Same	Abau	-3.97222	141.324
aaz	Same	Amarasi	-10.21751	123.96373
abt	Different	Ambulas	-3.7801	143.059
abx	Same	Inabaknon	12.4264	124.166
aby	Different	Aneme Wake	-9.75911	148.479
aca	Same	Achagua	4.38649	287.7995
acd	Same	Gikyode	8.39478	0.56975
ace	Same	Acehnese	3.90757	96.6032
acf	Same	Saint Lucian Creole French	15.3947	298.6359
ach	Same	Acoli	3.57738	32.5147
acn	Same	Longchuan Achang	24.3479	97.7438
acr	Same	Achi	15.073	269.6487
acu	Different	Achuar-Shiwiar	-2.82646	282.7359
ade	Same	Adele	8.16975	0.619185
adh	Same	Adhola	0.73235	34.0341
adi	Different	Bori-Karko	27.62812	94.3538
adj	Same	Adioukrou	5.38228	-4.52522
adl	Same	Galo	27.9805586	94.6884956
aeb	Same	Tunisian Arabic	33.7966	9.56156
aer	Same	Eastern Arrernte	-23.3583	135.046
aeu	Same	Akeu	22.1959	101.0823
aey	Same	Amele	-5.29126	145.687
afr	Same	Afrikaans	-22	30
agd	Different	Agarabi	-6.20604	145.917
agg	Different	Angor	-3.7167	141.199
agm	Different	Angaataha	-7.15012	146.352
agn	Same	Agutaynen	10.5328	119.655
agr	Different	Aguaruna	-5.30044	282.0782
agt	Same	Central Cagayan Agta	17.9571	121.857
agu	Same	Aguacateco	15.3307	268.6847
agw	Same	Kahua	-10.6963	162.191
agx	Different	Aghul	41.9242	47.5843
ahk	Different	Akha	21.2309	100.964
aia	Same	Arosi	-10.2441	161.432
aii	Same	Assyrian Neo-Aramaic	36.75	43
aim	Different	Aimol	24.6437	94.3556
aji	Same	Ajië	-21.3029	165.468
ajz	Same	Amri Karbi	26.024	91.482
akb	Same	Batak Angkola	1.66127	99.60248
ake	Same	Akawaio-Ingariko	6.16277	299.138
akh	Different	Angal Heneng	-6.13347	143.478
akp	Same	Siwu	7.23811	0.44362
ald	Same	Alladian	5.22371	-4.42647
alj	Same	Alangan	13.0982	121.022
aln	Different	Gheg Albanian	42.317	21.3837
alp	Same	Alune	-3.11477	128.394
alq	Different	Algonquin	47.3876	282.4742
alt	Different	Southern Altai	50.1347	86.8705
aly	Same	Alyawarr	-21.0427	136.835
alz	Same	Alur	2.36213	31.0016
ame	Different	Yanesha'	-10.5454	284.685
amf	Different	Hamer-Banna	5.06515	36.5176
amh	Different	Amharic	11.708182	39.543456
amk	Same	Ambai	-1.88126	136.526
amm	Same	Ama (Papua New Guinea)	-4.20192	141.658
amn	Different	Amanab	-3.51516	141.178
amp	Same	Alamblak	-4.66307	143.316
amr	Different	Amarakaeri	-12.4931	289.4467
amu	Same	Guerrero Amuzgo	16.77226	261.81047
amx	Same	Anmatyerre	-22.2853	133.286
anm	Same	Anal	24.0506	94.2806
ann	Same	Obolo	4.62851	7.81985
anv	Same	Denya	5.97237	9.39989
any	Same	Anyin	6.31781	-3.30532
aoi	Same	Anindilyakwa	-13.99904	136.6415
aoj	Same	Mufian	-3.57932	142.955
aom	Different	Ömie	-9.03136	148.107
aon	Same	Bumbita Arapesh	-3.65508	142.859
aoz	Same	Uab Meto	-9.77284	124.144
apb	Same	Sa'a	-9.60258	161.467
ape	Same	Bukiyip	-3.47169	143.111
apr	Same	Arop-Lokep	-5.31671	147.103
apt	Same	Apatani	27.1933	93.7284
apu	Same	Apurinã	-8.21692	293.2286
apw	Same	Western Apache	33.8574	249.877
apy	Same	Apalaí	1.49792	305.2543
apz	Different	Safeyoka	-7.05417	146.09
arb	Same	Standard Arabic	27.9625	43.8525
are	Different	Western Arrarnta	-24.05052	133.24621
arl	Different	Arabela	-1.96126	284.9388
arn	Same	Mapudungun	-38.7392	288.723
ary	Same	Moroccan Arabic	32.5	-7.5
arz	Same	Egyptian Arabic	31	31
asg	Same	Western-Kambari-Cishingini	9.88458	4.48564
aso	Different	Dano	-5.92188	145.254
ata	Same	Pele-Ata	-5.58045	151.05
atb	Same	Zaiwa	24.1726	98.3643
atd	Same	Ata Manobo	7.7789	125.499
atg	Same	Ivbie North-Okpela-Arhe	7.15307	6.21209
att	Same	Pamplona Atta	18.4738	121.3
aui	Same	Anuki	-9.6692	149.822
auy	Different	Awiyaana	-6.54079	145.76
ava	Different	Avar	41.7047	46.558
avt	Same	Au	-3.53277	142.105
avu	Same	Avokaya	4.38639	29.9379
awa	Same	Awadhi	27.5907	82.4663
awb	Different	Awa (Papua New Guinea)	-6.65534	145.714
awi	Same	Aekyom	-5.88478	141.532
ayo	Same	Ayoreo	-19.220055	299.782505
ayr	Different	Central Aymara	-17	291.5
azj	Different	North Azerbaijani	40.97768	46.4737
azg	Same	San Pedro Amuzgos Amuzgo	16.5198	261.9536
azz	Same	Highland Puebla Nahuatl	20.1554	262.4444
bak	Different	Bashkir	53.59671	56.55937
bam	Same	Bambara	12.9	-7.65
ban	Same	Balinese	-8.35714	115.075
bao	Different	Waimaha	0.30416	289.8356
bar	Different	Bavarian	47.9232	13.246
bav	Same	Vengo	6.11403	10.4137
bba	Same	Baatonum	9.63186	2.99607
bbb	Same	Barai	-9.46246	147.899
bbc	Same	Batak Toba	2.35498	99.1761
bbj	Same	Ghomálá'	5.39619	10.352
bbr	Same	Girawa	-5.35342	145.423
